	D21BC	D21PT	D21R6	D21R7
RNU11	0	0	0	0
GMEB1	100	100	145	109
RF00422	0	1	0	0
YTHDF2	374	349	535	390
OPRD1	12	10	3	0
AL009181.1	0	0	0	0
EPB41	94	102	155	107
AL138785.1	0	1	2	1
RF00017	15	36	23	31
TMEM200B	59	80	164	157
AL357500.1	0	1	0	2
SRSF4	252	266	443	310
RF02271	7	15	21	13
MECR	91	83	81	85
AL590729.1	2	1	0	1
PTPRU	434	550	927	661
LINC01756	1	2	0	3
AL671862.1	0	0	0	0
AC092265.1	0	0	0	0
AL645944.2	0	0	0	0
AL645944.1	0	0	0	0
LINC01648	0	0	0	0
AL137076.1	0	0	0	0
AL021921.1	0	0	0	0
AL161638.2	0	0	0	0
AL161638.1	0	0	0	0
MATN1	6	11	4	7
MATN1-AS1	8	11	9	8
LAPTM5	6	3	3	1
MIR4420	0	0	0	0
AL137027.1	0	0	0	0
LINC01778	0	0	1	0
RN7SKP91	0	0	0	0
AL445235.1	0	0	0	0
SDC3	83	134	251	286
RN7SL371P	0	0	0	0
PUM1	563	662	1040	790
AL356320.2	0	4	2	0
AL356320.1	0	0	0	0
SELENOWP1	0	0	0	0
AC114495.1	0	0	0	0
NKAIN1	11	8	3	4
SNRNP40	229	217	438	374
AC114495.2	1	2	1	1
ZCCHC17	370	345	389	292
AL451070.1	130	92	95	89
FABP3	298	286	99	40
SERINC2	268	232	297	166
AC209007.1	0	0	0	0
RNU6-40P	0	0	0	0
LINC01225	0	1	0	0
LINC01226	0	1	0	0
AC114488.1	0	0	0	0
TINAGL1	0	3	6	4
HCRTR1	9	25	30	26
PEF1	138	153	315	267
AC114488.2	177	160	115	136
AC114488.3	0	3	0	2
COL16A1	4830	5078	3982	5167
ADGRB2	58	78	105	109
MIR4254	0	3	1	4
AL354919.2	0	4	15	10
SPOCD1	31	53	129	125
AL354919.1	0	1	0	0
AL136115.2	0	0	0	0
PTP4A2	1027	1034	1861	1379
AL136115.1	1	5	7	3
AL136115.3	0	0	0	0
KHDRBS1	259	333	424	349
AL445248.1	4	1	2	4
TMEM39B	39	49	60	67
MIR5585	0	0	1	0
KPNA6	386	409	573	449
AL049795.2	0	0	0	0
TXLNA	911	887	1452	1136
CCDC28B	56	57	65	72
AL049795.1	20	24	38	28
IQCC	15	22	22	23
DCDC2B	28	15	28	24
TMEM234	61	78	99	89
EIF3I	694	660	770	603
MTMR9LP	30	29	41	33
FAM167B	1	2	3	4
LCK	0	0	0	0
HDAC1	253	217	342	290
MARCKSL1	134	148	179	93
AL109945.1	0	0	0	0
TSSK3	9	15	9	5
FAM229A	14	24	15	15
BSDC1	380	402	611	440
GAPDHP20	0	0	0	0
AL356986.1	0	0	0	0
LRRC37A12P	0	0	0	0
RN7SL122P	0	0	0	0
AL033529.1	0	0	0	0
ZBTB8B	0	0	0	1
ZBTB8A	38	25	92	63
ZBTB8OS	112	93	185	183
RBBP4	429	476	870	676
SYNC	147	112	324	309
AC114489.1	0	0	1	0
KIAA1522	27	49	53	57
YARS	843	708	720	464
S100PBP	143	192	224	183
FNDC5	5	5	11	6
HPCA	41	48	52	58
TMEM54	106	99	139	105
RNF19B	139	151	238	200
AL031602.1	0	1	0	0
AL355864.1	0	0	1	0
AL355864.2	3	1	0	0
AL020995.1	7	10	4	7
AK2	913	951	1108	892
AZIN2	94	112	123	77
AL662907.1	0	4	3	1
TRIM62	19	20	25	28
AL662907.2	3	2	3	3
AL662907.3	0	0	0	0
ZNF362	72	119	139	130
AL513327.3	2	4	2	3
A3GALT2	3	0	2	5
AL513327.1	11	27	29	18
PHC2	548	698	1176	1014
MIR3605	2	2	3	1
RN7SKP16	3	2	3	3
AL513327.2	0	0	0	3
TLR12P	0	0	0	0
ZSCAN20	45	56	75	74
AC115285.1	0	1	0	0
CSMD2	15	35	29	13
HSPD1P14	0	0	0	0
HMGB4	0	0	0	0
CSMD2-AS1	0	0	0	0
RNA5SP42	0	0	0	0
C1orf94	0	0	0	0
AC115286.1	0	0	0	0
MIR552	0	0	0	0
SMIM12	149	132	211	214
GJB5	3	5	0	0
GJB4	0	0	1	0
AL121988.1	1	2	0	0
GJB3	0	1	0	1
GJA4	0	1	0	1
AL122010.1	7	8	7	2
DLGAP3	0	0	3	0
AC114490.3	1	2	2	3
AC114490.1	0	1	5	6
AC114490.2	0	0	0	0
TMEM35B	0	0	1	1
ZMYM6	36	33	47	37
RPL12P45	0	0	0	0
ZMYM1	59	71	140	86
EFCAB14P1	0	0	0	0
AL590434.1	0	0	0	0
SFPQ	753	841	1441	1152
ZMYM4	304	339	427	409
RN7SL503P	0	0	1	0
RF00091	2	0	1	1
RPL5P4	16	9	10	2
ZMYM4-AS1	16	22	26	17
KIAA0319L	231	279	354	290
AC004865.1	0	2	0	4
NCDN	289	367	438	371
AC004865.2	1	7	2	0
TFAP2E	8	4	7	9
PSMB2	252	234	408	266
C1orf216	207	169	557	496
CLSPN	10	8	6	7
AL354864.1	3	2	3	0
AGO4	116	128	170	147
AGO1	285	361	513	406
AL139286.1	0	0	0	0
AL139286.2	0	1	0	1
AGO3	305	403	314	276
AL138787.2	18	24	29	16
AL138787.1	0	0	0	0
TEKT2	6	4	0	0
ADPRHL2	144	137	200	135
COL8A2	2566	2283	2975	1710
TRAPPC3	316	268	400	365
MAP7D1	563	598	815	643
RN7SL131P	0	0	0	0
THRAP3	889	877	1221	974
UBE2V2P4	0	0	0	0
SH3D21	230	310	228	195
EVA1B	242	235	342	365
AL591845.1	65	115	44	58
STK40	125	148	227	148
LSM10	76	70	122	109
RNU4-27P	0	0	0	0
OSCP1	47	39	55	51
SNORA63C	2	1	3	0
MRPS15	104	90	128	92
CSF3R	0	0	0	0
FTLP18	0	0	0	0
AL596257.1	0	0	0	0
AC117945.2	0	0	0	0
AC117945.1	0	0	0	0
GRIK3	0	0	0	0
AL031430.1	0	0	0	0
MIR4255	0	0	0	0
RNU6-636P	0	0	0	0
AL353604.1	0	0	0	0
RNA5SP43	0	0	0	0
RPS29P6	0	0	0	0
LINC01137	21	17	32	29
ZC3H12A	53	69	84	74
MIR6732	0	0	0	0
MEAF6	87	78	147	117
MIR5581	0	1	0	0
SNIP1	129	129	248	191
FTH1P1	2	1	1	0
AL034379.1	0	0	0	1
DNALI1	35	69	85	92
GNL2	219	223	317	245
AL513220.1	0	0	0	0
RSPO1	2	0	3	16
C1orf109	112	93	144	137
CDCA8	20	22	14	6
EPHA10	1	0	0	1
ACTN4P2	0	0	0	0
AL929472.1	0	0	0	0
MANEAL	1	2	5	2
AL929472.3	0	2	1	1
YRDC	100	83	84	73
C1orf122	220	199	354	290
MTF1	63	128	150	104
AL929472.4	0	1	1	0
AL929472.2	19	35	28	16
INPP5B	198	193	232	242
RF00092	1	1	1	1
RNU6-584P	0	0	0	0
SF3A3	351	320	615	508
RNU6-510P	2	0	1	2
FHL3	101	156	200	135
UTP11	128	93	170	98
POU3F1	1	0	0	1
AL139158.2	0	0	1	3
AL139158.1	0	0	0	0
MIR3659	0	0	0	0
AL139158.3	0	0	0	0
LINC01343	0	0	0	1
AL513479.1	0	0	0	0
RNU6-753P	0	0	0	0
LINC01685	0	0	0	0
AL354702.1	0	0	0	0
AL354702.2	0	0	0	0
RRAGC	50	49	112	88
AL139260.2	0	0	0	0
AL139260.1	53	62	37	17
MYCBP	51	30	63	40
AL139260.3	2	2	0	0
GJA9	0	0	0	0
RHBDL2	133	140	68	25
RNU6-605P	0	0	0	0
EIF1P2	0	0	0	0
AKIRIN1	301	260	389	261
NDUFS5	873	698	1114	1077
MACF1	2864	3872	3626	2676
RNU6-608P	0	0	1	0
RNA5SP44	0	0	0	1
AL356055.1	0	0	0	0
AL442071.1	37	26	50	32
HSPE1P8	0	1	0	1
BMP8A	69	76	8	0
OXCT2P1	0	3	0	0
PPIEL	84	117	62	43
PABPC4	794	1013	575	477
AL365277.1	174	182	99	88
SNORA55	1	1	0	0
HEYL	0	6	5	4
AL035404.2	0	0	0	0
NT5C1A	0	0	0	0
HPCAL4	1	2	0	0
PPIE	163	175	209	182
AL035404.1	0	0	0	0
RNU7-121P	0	0	0	0
BMP8B	221	235	18	22
OXCT2	7	6	1	0
AL033527.3	0	0	0	0
AL033527.1	0	0	0	0
AL033527.5	0	0	0	0
AL033527.4	0	1	0	1
TRIT1	124	108	132	101
MYCL	8	6	4	2
AL033527.2	3	0	2	2
MFSD2A	53	52	222	146
AL663070.1	1	1	5	1
CAP1	1249	1211	2383	1953
PPT1	771	688	1424	1029
AL512599.1	0	0	0	0
RLF	295	323	431	292
RNU6-1237P	0	0	0	0
TMCO2	0	0	0	0
AL050341.2	11	11	19	22
ZMPSTE24	422	309	497	335
AL050341.1	0	4	1	1
COL9A2	9160	8397	2665	1232
AL031985.2	2	1	0	0
SMAP2	159	166	360	246
AL031985.1	0	0	0	0
AL031985.4	0	0	1	2
ZFP69B	24	16	17	11
AL031985.3	8	11	18	11
AL603839.4	0	0	0	0
ZFP69	10	9	27	20
AL603839.3	0	2	1	0
EXO5	43	29	82	55
AL603839.1	6	9	18	18
AL603839.2	7	6	13	7
ZNF684	11	6	28	40
AL356379.1	0	0	0	0
GTF2F2P2	0	0	0	0
RIMS3	1	2	3	2
AL031289.1	0	0	2	0
NFYC-AS1	22	29	31	26
NFYC	105	119	174	136
MIR30E	0	1	0	0
MIR30C1	0	0	0	0
KCNQ4	0	2	0	1
RN7SL326P	0	0	0	0
CITED4	46	49	15	14
AC119677.1	0	0	0	0
AL391730.1	0	0	0	0
UBE2V1P8	0	0	0	0
CTPS1	108	85	161	93
SLFNL1-AS1	18	27	29	27
SLFNL1	7	14	13	10
SCMH1	121	144	279	248
RPL23AP17	1	2	1	0
AC093151.3	1	1	4	1
AC093151.1	0	0	0	0
FOXO6	2	2	2	5
AC093151.2	0	1	1	2
RNA5SP45	0	0	0	0
EDN2	1	2	2	2
HIVEP3	16	35	18	18
AL445933.2	0	0	0	0
AL445933.1	0	1	0	0
AC119676.1	0	0	0	0
HNRNPFP1	0	0	0	0
AC114492.1	0	0	0	0
GUCA2B	0	0	0	0
GUCA2A	0	0	0	0
FOXJ3	233	282	392	292
AC096540.1	0	0	3	1
RIMKLA	4	9	1	1
AL513331.1	0	0	0	0
ZMYND12	7	7	7	19
PPCS	148	120	195	168
CCDC30	12	19	15	19
AL445669.1	0	0	0	0
TMSB4XP1	0	2	0	0
RNU6-536P	0	0	0	0
AL445669.2	0	0	0	1
PPIH	72	68	107	100
AC098484.2	2	1	2	2
YBX1	3481	2904	2661	2008
CLDN19	0	0	0	0
P3H1	1505	1599	1649	1158
C1orf50	18	25	25	20
AC098484.3	0	0	0	0
AC098484.1	1	5	5	3
TMEM269	3	3	7	9
SVBP	16	19	35	37
ERMAP	121	111	107	158
AL512353.1	26	35	32	26
ZNF691	26	32	36	29
AL512353.2	1	0	0	0
AL512353.3	0	0	0	0
ATP6V1E1P1	0	0	0	0
SLC2A1	1703	1572	1559	1224
AC099795.2	1	2	0	3
SLC2A1-AS1	10	12	13	5
AC099795.1	3	5	2	2
RNU6-880P	0	0	1	0
AL161637.1	0	0	0	0
FAM183A	0	0	0	0
EBNA1BP2	197	135	194	116
MIR6733	0	0	0	0
CFAP57	22	18	24	17
RNA5SP46	0	0	0	0
TMEM125	1	0	0	0
C1orf210	0	0	0	0
TIE1	0	1	0	0
MPL	0	1	1	0
AL139289.2	1	0	1	0
CDC20	13	23	13	9
ELOVL1	492	401	634	458
MIR6734	0	0	0	0
MED8	341	278	450	341
AL139289.1	80	74	121	63
SZT2	378	542	598	582
SZT2-AS1	6	8	14	18
MIR6735	0	0	0	0
HYI	69	78	103	132
HYI-AS1	0	0	2	0
PTPRF	293	469	263	185
AL451062.3	0	0	0	0
KDM4A	205	171	293	271
KDM4A-AS1	69	86	125	119
ST3GAL3	17	33	20	20
AL451062.1	0	1	4	2
AL451062.2	2	0	2	0
MIR6079	0	0	0	0
SHMT1P1	0	2	0	1
ARTN	3	1	1	4
AL357079.1	0	0	1	2
IPO13	154	134	232	204
DPH2	102	93	132	142
ATP6V0B	561	465	567	413
B4GALT2	657	582	781	533
CCDC24	39	49	56	61
SLC6A9	141	127	121	78
AL139220.2	8	11	11	11
AL139220.1	0	0	0	0
KRT8P47	1	5	3	2
RN7SL479P	1	0	0	0
KLF17	1	2	3	2
AL356653.1	0	0	0	1
KLF18	0	0	0	0
AL359839.1	0	0	0	0
OOSP1P1	0	0	0	0
AL035417.1	0	0	0	0
AL035417.2	0	0	0	0
DMAP1	110	120	174	148
ERI3	338	281	428	353
ERI3-IT1	5	7	5	3
RNU6-369P	0	0	0	0
RNF220	350	323	643	665
MIR5584	0	0	0	0
TMEM53	137	127	243	215
C1orf228	9	9	19	11
RNU5F-1	3	1	1	0
RNU5D-1	2	3	0	1
KIF2C	28	27	30	11
AL592166.1	129	133	104	76
RPS8	4253	4008	2455	2207
SNORD55	0	0	0	0
SNORD46	1	3	2	3
SNORD38A	1	2	0	1
SNORD38B	0	0	0	0
RPS15AP11	2	1	4	1
BEST4	17	13	7	2
PLK3	76	73	88	68
TCTEX1D4	3	2	5	3
BTBD19	130	143	161	136
PTCH2	3	12	6	8
RNU5E-6P	0	0	0	0
AL136380.1	0	0	0	0
EIF2B3	123	129	247	201
RNA5SP47	0	0	0	0
CCNB1IP1P1	0	0	1	0
PPIAP35	0	0	2	0
MRPS17P1	1	0	0	0
HECTD3	175	205	360	287
UROD	441	345	700	667
ZSWIM5	61	74	44	36
OSTCP5	0	0	0	0
LINC01144	2	1	6	7
HPDL	12	9	13	7
MUTYH	43	42	99	93
TOE1	60	42	90	101
TESK2	20	28	22	24
PPIAP36	0	0	0	0
CCDC163	5	7	8	5
MMACHC	560	491	694	593
PRDX1	1338	1028	1856	1385
HMGB1P48	0	0	0	0
AKR1A1	272	240	447	347
AL355480.3	0	0	0	0
AL355480.1	0	0	1	0
NASP	197	206	272	257
AL355480.2	0	0	0	0
AL355480.4	0	0	0	0
CCDC17	2	8	6	9
GPBP1L1	436	441	692	596
RPS15AP10	1	2	3	1
AL604028.2	3	5	5	11
TMEM69	38	36	66	39
IPP	105	107	128	102
AL604028.1	13	12	14	10
AL603882.1	0	0	0	0
MAST2	357	502	373	303
TMA16P2	0	1	0	0
PIK3R3	65	58	192	119
AL358075.4	0	0	0	0
AL358075.1	1	0	1	1
AL358075.3	0	0	2	0
AL358075.2	0	0	2	0
TSPAN1	12	9	17	17
AL672043.1	0	0	0	0
POMGNT1	315	271	413	365
LURAP1	24	14	28	15
RAD54L	15	15	20	11
LRRC41	461	522	672	551
UQCRH	922	737	665	666
NSUN4	141	170	218	191
AL122001.1	0	0	0	0
FAAH	130	98	36	28
FAAHP1	18	11	5	6
LINC01398	3	4	0	0
DMBX1	3	6	0	0
AL136373.1	0	0	0	0
MKNK1-AS1	10	18	18	19
KNCN	0	0	0	0
MKNK1	78	89	123	108
MOB3C	122	117	265	187
ATPAF1	173	203	272	239
NENFP1	0	1	0	0
TEX38	1	1	0	1
EFCAB14-AS1	7	10	17	20
EFCAB14	210	321	332	376
AL593856.1	0	0	0	0
CYP4B1	1	3	84	55
CYP4Z2P	0	0	1	0
AL731892.1	0	0	0	0
CYP4A11	0	0	0	0
CYP4A26P	0	0	0	0
CYP4A43P	0	0	0	0
CYP4A27P	0	0	0	0
CYP4A44P	0	0	0	0
CYP4X1	3	10	25	22
CYP4Z1	0	3	2	0
AL450996.1	0	0	0	0
CYP4A22-AS1	3	4	3	1
CYP4A22	5	4	2	0
MTND1P34	0	0	0	0
LINC00853	0	6	4	2
PDZK1IP1	0	1	0	1
TAL1	0	0	0	0
AL135960.1	0	0	0	0
STIL	27	24	25	26
CMPK1	1174	1063	1685	1080
LINC01389	1	3	5	3
FOXE3	0	1	0	1
FOXD2-AS1	3	5	5	2
FOXD2	14	20	17	10
AL356458.1	0	0	0	0
RPL21P24	0	0	0	0
ATP6V0E1P4	0	0	0	0
LINC01738	0	0	0	0
TRABD2B	35	96	85	88
AL691459.1	0	0	0	0
AC096541.1	4	4	2	5
AL356289.1	0	2	0	2
AL356289.2	0	0	0	0
CYP46A4P	0	0	0	0
SKINT1L	0	1	1	1
AL356289.3	0	0	0	0
AL109659.1	0	1	0	0
SLC5A9	7	15	35	46
AL109659.2	0	5	6	6
AL109659.3	0	1	1	0
SPATA6	42	62	101	79
PPP1R8P1	0	4	4	7
RNU6-723P	0	0	1	1
AL356968.2	1	0	1	1
RNU4-61P	0	0	0	0
AL356968.1	0	0	0	0
AGBL4	0	2	0	1
BEND5	68	69	33	39
AC099788.1	0	0	0	0
AL590432.1	0	0	0	0
AGBL4-IT1	0	0	0	0
AL390023.1	0	0	0	0
ZNF859P	0	0	0	0
AL645730.1	0	0	0	0
MTND2P29	0	0	0	0
ELAVL4	0	0	0	0
AL583843.1	0	0	0	0
AL592182.2	0	0	0	0
AL592182.1	0	0	0	0
AL596275.2	0	0	0	0
AL592182.3	0	0	1	0
AL596275.1	0	0	1	0
HMGB1P45	0	0	0	0
FCF1P6	0	0	0	0
DMRTA2	0	0	0	0
AL049637.2	0	0	0	1
FAF1	195	209	305	236
AL049637.1	1	1	2	0
RNU6-1026P	0	0	1	0
PHBP12	4	4	7	3
MRPS6P2	1	1	0	0
CDKN2C	67	45	70	57
MIR4421	0	0	0	0
MIR6500	0	0	0	0
C1orf185	0	0	0	0
CFL1P2	0	0	0	0
LINC01562	1	1	0	0
RNF11	271	296	478	335
AL162430.1	0	1	3	1
AL162430.2	1	0	1	1
TTC39A	4	3	1	5
TTC39A-AS1	0	0	0	0
EPS15	368	363	539	541
AL671986.1	0	2	3	1
RNU6-877P	0	0	0	0
AC104170.2	0	1	1	0
AC104170.1	0	0	1	0
RNU6-1281P	0	0	0	0
CALR4P	0	0	0	0
OSBPL9	448	429	655	696
GAPDHP51	0	1	0	0
SLC25A6P3	0	2	0	0
RF00568	1	0	0	1
NRDC	495	521	661	517
AL050343.1	2	9	7	5
AL050343.2	0	0	1	0
MIR761	0	0	0	0
TSEN15P2	0	1	1	0
RAB3B	33	66	64	50
RNA5SP48	0	0	0	0
AL445685.2	0	0	0	0
RN7SL290P	0	0	0	0
TXNDC12	278	262	350	327
KTI12	46	35	63	55
AL445685.1	21	10	27	19
TXNDC12-AS1	1	1	1	0
BTF3L4	238	187	302	241
ZFYVE9	220	243	433	347
RN7SL788P	0	0	1	0
AL139156.2	1	0	2	0
AL139156.1	1	3	1	0
PDCL3P6	0	0	0	1
AL139156.3	0	0	0	0
DNAJC19P7	1	0	0	0
ANAPC10P1	0	1	1	0
CC2D1B	210	201	343	266
AL513218.1	13	15	23	13
PLA2G12AP1	0	0	1	0
ORC1	10	8	11	10
PRPF38A	126	136	197	169
ZCCHC11	235	291	446	515
AL591167.1	0	0	0	3
EEF1GP7	0	0	1	0
GPX7	439	363	459	324
SHISAL2A	4	8	2	0
COA7	92	85	193	136
NDUFS5P3	0	0	0	0
RN7SL62P	0	0	0	0
ZYG11B	180	198	456	370
RNU2-30P	1	0	0	0
RPS13P2	0	3	2	1
RNU6-969P	0	0	0	0
ZYG11A	0	1	1	1
AC099677.4	0	0	0	0
ECHDC2	75	88	141	178
AC099677.1	2	5	2	9
AC099677.2	0	0	0	0
SCP2	227	211	417	390
MIR1273F	0	0	1	0
MIR5095	0	0	0	0
MIR1273G	1	0	0	0
AC099677.3	0	0	0	0
AL445183.3	1	1	0	1
TUBBP10	0	0	0	0
PODN	9	12	50	111
AL445183.1	0	2	6	11
HIGD1AP11	0	0	0	0
SLC1A7	0	0	3	6
AL445183.2	0	1	0	0
AL606760.4	0	0	0	0
CPT2	70	68	86	87
AL606760.2	26	33	32	32
C1orf123	190	177	263	263
AL606760.3	1	2	1	2
MAGOH	73	73	143	110
AL606760.1	1	3	4	9
LRP8	69	60	64	52
AL355483.4	0	2	2	0
AL355483.2	4	7	2	5
AL355483.1	0	0	0	0
AL355483.3	0	0	1	0
LINC01771	0	0	0	0
AC119428.1	0	0	0	0
AC119428.2	0	0	0	0
SLC25A3P1	0	0	0	0
DMRTB1	0	0	0	0
GLIS1	19	24	27	14
RNU7-95P	0	0	0	0
NDC1	84	77	148	93
RF00418	0	0	0	0
AL049745.1	0	0	0	0
YIPF1	69	65	115	80
DIO1	6	10	3	2
HSPB11	38	31	53	27
LRRC42	102	116	140	108
HNRNPA3P12	0	0	0	2
LDLRAD1	0	0	0	0
TMEM59	1734	1571	2824	2453
AL353898.3	1	8	4	5
TCEANC2	80	79	93	82
MIR4781	0	0	0	0
AL353898.1	1	1	0	0
AL353898.2	2	3	2	0
AL357673.1	0	0	0	0
CDCP2	1	0	0	0
AL357673.2	0	0	0	0
CYB5RL	10	19	56	50
MRPL37	174	210	236	177
SSBP3	38	62	101	104
SSBP3-AS1	2	5	6	6
AL161644.1	0	0	0	0
AL035415.1	0	0	0	0
AC099796.1	0	0	0	0
AC099796.2	0	0	0	0
HNRNPA1P63	0	0	0	0
ACOT11	47	50	47	51
FAM151A	4	5	19	10
AL590093.1	0	0	1	0
MROH7	0	4	0	6
MROH7-TTC4	0	1	1	0
TTC4	6	3	13	11
PARS2	17	26	58	38
TTC22	4	3	0	0
AC096536.2	0	0	0	0
LEXM	0	2	0	1
DHCR24	242	222	1234	959
AC096536.3	30	30	105	110
AC096536.1	0	0	0	0
AL590440.2	0	0	0	0
TMEM61	0	0	2	0
AL590440.1	0	0	0	1
BSND	0	0	0	0
PCSK9	7	5	10	11
USP24	340	409	652	550
MIR4422HG	0	0	0	0
GYG1P3	0	0	0	0
MIR4422	0	0	0	0
AL603840.1	2	3	4	5
GOT2P1	0	0	0	0
MTCO2P34	0	0	0	0
RN7SKP291	0	3	2	2
RNU6-830P	0	0	0	0
LINC01753	0	0	0	0
PIGQP1	0	0	0	0
LINC01755	0	0	0	0
AL353681.1	0	0	0	0
AC119674.1	1	4	8	4
AC119674.2	1	0	2	2
RPSAP20	0	0	0	0
LINC01767	1	0	0	0
PLPP3	160	206	736	907
RPL21P23	1	0	1	2
RPL23AP85	0	0	0	0
AC099789.1	0	0	0	0
PRKAA2	43	48	33	15
FYB2	0	0	1	0
AL360295.1	0	0	0	0
C8A	0	0	1	0
C8B	2	2	1	3
AL161740.1	0	0	0	0
DAB1	0	0	2	0
AL390243.1	0	0	0	0
RPS20P5	0	0	0	0
DAB1-AS1	0	0	0	0
HNRNPA1P6	0	0	0	0
RPS26P15	0	0	0	0
AL445193.2	0	0	0	0
AL445193.1	0	0	0	0
AL357373.1	0	0	0	1
OMA1	77	95	123	110
AL035411.2	0	0	0	0
RN7SL713P	0	0	0	0
TACSTD2	390	352	3458	2095
AL035411.1	0	5	1	0
MYSM1	193	240	273	183
AL136985.3	1	0	1	1
JUN	833	863	2549	2352
LINC01135	4	1	1	5
AL136985.2	0	1	0	0
AL136985.1	0	1	1	0
AC105277.1	1	2	2	2
LINC01358	1	1	7	5
PHBP3	0	0	0	0
AL592431.2	0	0	0	0
AL592431.1	0	0	0	0
AC093425.1	2	0	1	2
AC093424.1	0	0	0	0
FGGY	111	98	161	128
MIR4711	0	0	0	0
AL035416.1	0	1	1	2
HOOK1	0	1	2	1
CYP2J2	1	1	3	2
RN7SL475P	0	0	0	0
C1orf87	0	0	0	0
PGBD4P8	0	0	1	0
AC097066.1	0	0	0	0
LINC01748	0	0	0	0
AC099792.1	0	0	0	0
NFIA	47	82	206	193
NFIA-AS2	1	0	2	2
AC096947.1	0	1	5	4
NFIA-AS1	0	0	4	3
AC099791.3	0	0	0	0
AC099791.1	0	0	0	0
TM2D1	154	167	203	149
AC099791.2	1	1	5	2
PATJ	82	123	144	128
RNU6-414P	0	0	0	0
RNU6-1177P	0	0	0	0
LAMTOR5P1	0	0	1	0
RN7SL180P	0	0	0	0
MIR3116-1	0	0	0	0
MIR3116-2	0	0	0	0
PIGPP2	0	0	0	0
RPS15AP7	0	0	0	0
L1TD1	0	0	0	0
AL162739.1	0	0	0	0
KANK4	387	376	198	75
RNU6-371P	0	0	0	0
USP1	111	103	162	141
DOCK7	379	499	525	384
AL451044.1	0	1	1	1
ANGPTL3	5	0	6	2
AL138847.2	1	1	5	7
AL138847.1	1	4	6	2
AC103923.1	3	2	5	2
ATG4C	37	45	75	53
AC099794.1	0	2	1	1
AC099794.2	0	0	0	0
LINC01739	0	0	0	0
AL162400.1	0	0	0	0
AL162400.2	0	0	0	0
AC096543.1	0	0	0	0
LINC00466	0	0	0	0
RNA5SP49	0	0	0	0
AC096543.2	0	0	0	0
RPSAP65	0	0	0	0
FOXD3-AS1	1	0	1	0
FOXD3	0	0	1	0
MIR6068	0	0	0	0
AL049636.1	0	0	0	0
ALG6	28	20	52	28
ITGB3BP	396	413	398	279
EFCAB7	26	38	75	59
RN7SL488P	0	1	0	0
RNU7-123P	0	0	0	0
DLEU2L	5	6	10	9
RF02110	2	8	10	2
RF02109	4	11	11	12
RF02108	3	0	5	2
RF02107	0	0	0	0
RF02106	3	2	2	0
RF02105	0	0	0	0
PGM1	1485	1600	1596	1054
RN7SL130P	5	2	0	0
ROR1	76	90	148	115
AL161742.1	2	4	7	11
CFL1P3	1	1	4	4
RNU6-809P	0	0	0	0
ROR1-AS1	2	3	6	4
AL445205.1	0	0	0	0
UBE2U	0	0	0	0
RNU7-62P	0	0	0	0
CACHD1	113	158	145	156
MIR4794	0	0	0	0
RAVER2	21	32	37	35
JAK1	495	589	1016	745
AL606517.2	0	1	1	0
AL606517.1	0	0	2	1
LINC01359	2	6	11	9
SLC2A3P2	1	1	2	7
AL357078.3	0	1	0	1
RNU6-1176P	0	0	0	0
MIR3671	1	0	2	0
MIR101-1	1	2	0	0
AL357078.1	1	8	4	12
AL357078.2	0	0	0	0
MRPS21P1	0	0	0	0
AK4	555	638	605	356
RPS29P7	1	2	1	8
DNAJC6	64	63	98	64
AL139294.1	1	1	2	3
COX6CP13	0	2	0	0
RNU2-15P	0	0	0	1
LEPROT	445	423	813	785
LEPR	117	135	1108	692
AC119800.1	2	0	0	5
AC097063.1	3	3	10	6
AL513493.1	0	0	2	0
RN7SL854P	0	0	0	1
PDE4B	378	401	465	449
AL590783.1	3	0	2	3
RNU4-88P	0	0	0	0
SGIP1	21	28	32	23
MIR3117	0	2	0	0
AL139147.1	0	3	4	4
TCTEX1D1	2	0	1	1
INSL5	4	0	14	9
WDR78	67	59	68	65
AL592161.1	3	1	4	0
MIER1	284	233	553	439
SLC35D1	536	583	537	330
C1orf141	0	0	1	2
RF00322	0	3	1	3
AL133320.1	0	0	1	0
IL23R	0	0	0	1
RNU6-586P	0	0	0	0
RNU4ATAC4P	0	0	0	0
AL389925.1	0	0	0	0
IL12RB2	1	2	5	3
SERBP1	1582	1520	1959	1554
RNU6-387P	2	0	1	0
LINC01702	0	0	0	0
RNU6-1031P	0	0	0	0
AL590559.1	0	0	0	0
RN7SL392P	0	0	0	0
HNRNPCP9	0	0	0	0
GADD45A	145	121	384	344
GNG12	323	367	747	625
RNU7-80P	0	0	0	0
GNG12-AS1	4	14	20	27
AL157407.1	0	0	0	0
DIRAS3	14	11	30	28
ARL5AP3	0	0	0	1
WLS	293	288	614	592
CTBP2P8	3	7	4	3
MIR1262	0	0	0	0
RPS7P4	0	0	0	0
COX6B1P7	0	0	0	0
ELOCP18	0	0	0	0
AL139413.1	0	0	0	0
RPE65	0	0	0	0
DEPDC1	14	14	7	4
AL138789.1	1	2	2	0
DEPDC1-AS1	0	0	0	0
TXNP2	0	0	0	0
AL035412.1	0	0	0	0
AL033530.1	0	0	0	0
AL691520.1	0	0	0	0
LINC01707	0	0	0	0
AL512271.1	0	0	0	0
LINC01758	0	0	0	0
LRRC7	4	1	4	4
SGO1P1	0	0	0	0
RN7SL538P	0	0	0	0
PIN1P1	0	0	0	0
AL158840.1	0	0	0	0
